division_code,division_name,district_code,district_name,upazila_code,upazila_name,union_code,union_name
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060702,Ward No-02
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060703,Ward No-03
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060704,Ward No-04
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060705,Ward No-05
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060706,Ward No-06
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060707,Ward No-07
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060708,Ward No-08
10,Barisal,1006,Barisal ,100607,Bakerganj ,10060709,Ward No-09
10,Barisal,1006,Barisal ,100610,Banari Para ,10061001,Ward No-01
10,Barisal,1006,Barisal ,100610,Banari Para ,10061002,Ward No-02
10,Barisal,1006,Barisal ,100610,Banari Para ,10061003,Ward No-03
10,Barisal,1006,Barisal ,100610,Banari Para ,10061004,Ward No-04
10,Barisal,1006,Barisal ,100610,Banari Para ,10061005,Ward No-05
10,Barisal,1006,Barisal ,100610,Banari Para ,10061006,Ward No-06
10,Barisal,1006,Barisal ,100610,Banari Para ,10061007,Ward No-07
10,Barisal,1006,Barisal ,100610,Banari Para ,10061008,Ward No-08
10,Barisal,1006,Barisal ,100610,Banari Para ,10061009,Ward No-09
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063201,Ward No-01
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063202,Ward No-02
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063203,Ward No-03
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063204,Ward No-04
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063205,Ward No-05
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063206,Ward No-06
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063207,Ward No-07
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063208,Ward No-08
10,Barisal,1006,Barisal ,100632,Gaurnadi ,10063209,Ward No-09
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065101,Ward No-01
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065102,Ward No-02
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065103,Ward No-03
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065104,Ward No-04
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065105,Ward No-05
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065106,Ward No-06
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065107,Ward No-07
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065108,Ward No-08
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065109,Ward No-09
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065110,Ward No-10
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065111,Ward No-11
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065112,Ward No-12
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065113,Ward No-13
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065114,Ward No-14
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065115,Ward No-15
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065116,Ward No-16
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065117,Ward No-17
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065118,Ward No-18
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065119,Ward No-19
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065120,Ward No-20
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065121,Ward No-21
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065122,Ward No-22
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065123,Ward No-23
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065124,Ward No-24
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065125,Ward No-25
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065126,Ward No-26
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065127,Ward No-27
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065128,Ward No-28
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065129,Ward No-29
10,Barisal,1006,Barisal ,100651,Barisal Sadar ,10065130,Ward No-30
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066201,Ward No-01
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066202,Ward No-02
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066203,Ward No-03
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066204,Ward No-04
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066205,Ward No-05
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066206,Ward No-06
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066207,Ward No-07
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066208,Ward No-08
10,Barisal,1006,Barisal ,100662,Mehendiganj ,10066209,Ward No-09
10,Barisal,1006,Barisal ,100669,Muladi ,10066901,Ward No-01
10,Barisal,1006,Barisal ,100669,Muladi ,10066902,Ward No-02
10,Barisal,1006,Barisal ,100669,Muladi ,10066903,Ward No-03
10,Barisal,1006,Barisal ,100669,Muladi ,10066904,Ward No-04
10,Barisal,1006,Barisal ,100669,Muladi ,10066905,Ward No-05
10,Barisal,1006,Barisal ,100669,Muladi ,10066906,Ward No-06
10,Barisal,1006,Barisal ,100669,Muladi ,10066907,Ward No-07
10,Barisal,1006,Barisal ,100669,Muladi ,10066908,Ward No-08
10,Barisal,1006,Barisal ,100669,Muladi ,10066909,Ward No-09
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091801,Ward No-01
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091802,Ward No-02
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091803,Ward No-03
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091804,Ward No-04
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091805,Ward No-05
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091806,Ward No-06
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091807,Ward No-07
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091808,Ward No-08
10,Barisal,1009,Bhola ,100918,Bhola Sadar ,10091809,Ward No-09
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092101,Ward No-01
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092102,Ward No-02
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092103,Ward No-03
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092104,Ward No-04
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092105,Ward No-05
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092106,Ward No-06
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092107,Ward No-07
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092108,Ward No-08
10,Barisal,1009,Bhola ,100921,Burhanuddin ,10092109,Ward No-09
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092501,Ward No-01
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092502,Ward No-02
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092503,Ward No-03
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092504,Ward No-04
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092505,Ward No-05
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092506,Ward No-06
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092507,Ward No-07
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092508,Ward No-08
10,Barisal,1009,Bhola ,100925,Char Fasson ,10092509,Ward No-09
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092901,Ward No-01
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092902,Ward No-02
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092903,Ward No-03
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092904,Ward No-04
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092905,Ward No-05
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092906,Ward No-06
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092907,Ward No-07
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092908,Ward No-08
10,Barisal,1009,Bhola ,100929,Daulat Khan ,10092909,Ward No-09
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095401,Ward No-01
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095402,Ward No-02
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095403,Ward No-03
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095404,Ward No-04
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095405,Ward No-05
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095406,Ward No-06
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095407,Ward No-07
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095408,Ward No-08
10,Barisal,1009,Bhola ,100954,Lalmohan ,10095409,Ward No-09
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100601,Ward No-01
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100602,Ward No-02
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100603,Ward No-03
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100604,Ward No-04
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100605,Ward No-05
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100606,Ward No-06
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100607,Ward No-07
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100608,Ward No-08
50,Rajshahi,5010,Bogra ,501006,Adamdighi ,50100609,Ward No-09
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102001,Ward No-01
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102002,Ward No-02
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102003,Ward No-03
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102004,Ward No-04
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102005,Ward No-05
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102006,Ward No-06
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102007,Ward No-07
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102008,Ward No-08
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102009,Ward No-09
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102010,Ward No-10
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102011,Ward No-11
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102012,Ward No-12
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102014,Ward No-14
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102015,Ward No-15
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102016,Ward No-16
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102017,Ward No-17
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102018,Ward No-18
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102019,Ward No-19
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102020,Ward No-20
50,Rajshahi,5010,Bogra ,501020,Bogra Sadar ,50102021,Ward No-21 (Part)
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102701,Ward No-01
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102702,Ward No-02
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102703,Ward No-03
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102704,Ward No-04
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102705,Ward No-05
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102706,Ward No-06
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102707,Ward No-07
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102708,Ward No-08
50,Rajshahi,5010,Bogra ,501027,Dhunat ,50102709,Ward No-09
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103301,Ward No-01
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103302,Ward No-02
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103303,Ward No-03
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103304,Ward No-04
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103305,Ward No-05
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103306,Ward No-06
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103307,Ward No-07
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103308,Ward No-08
50,Rajshahi,5010,Bogra ,501033,Dhupchanchia ,50103309,Ward No-09
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104001,Ward No-01
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104002,Ward No-02
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104003,Ward No-03
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104004,Ward No-04
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104005,Ward No-05
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104006,Ward No-06
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104007,Ward No-07
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104008,Ward No-08
50,Rajshahi,5010,Bogra ,501040,Gabtali ,50104009,Ward No-09
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105401,Ward No-01
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105402,Ward No-02
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105403,Ward No-03
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105404,Ward No-04
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105405,Ward No-05
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105406,Ward No-06
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105407,Ward No-07
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105408,Ward No-08
50,Rajshahi,5010,Bogra ,501054,Kahaloo ,50105409,Ward No-09
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106701,Ward No-01
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106702,Ward No-02
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106703,Ward No-03
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106704,Ward No-04
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106705,Ward No-05
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106706,Ward No-06
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106707,Ward No-07
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106708,Ward No-08
50,Rajshahi,5010,Bogra ,501067,Nandigram ,50106709,Ward No-09
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108101,Ward No-01
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108102,Ward No-02
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108103,Ward No-03
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108104,Ward No-04
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108105,Ward No-05
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108106,Ward No-06
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108107,Ward No-07
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108108,Ward No-08
50,Rajshahi,5010,Bogra ,501081,Sariakandi ,50108109,Ward No-09
50,Rajshahi,5010,Bogra ,501085,Shajahanpur ,50108513,Ward No-13
50,Rajshahi,5010,Bogra ,501085,Shajahanpur ,50108514,Ward No-14 (Part) Bogra Psa
50,Rajshahi,5010,Bogra ,501085,Shajahanpur ,50108521,Ward No-21 (Part) Bogra Psa
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108801,Ward No-01
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108802,Ward No-02
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108803,Ward No-03
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108804,Ward No-04
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108805,Ward No-05
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108806,Ward No-06
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108807,Ward No-07
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108808,Ward No-08
50,Rajshahi,5010,Bogra ,501088,Sherpur ,50108809,Ward No-09
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109401,Ward No-01
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109402,Ward No-02
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109403,Ward No-03
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109404,Ward No-04
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109405,Ward No-05
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109406,Ward No-06
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109407,Ward No-07
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109408,Ward No-08
